1.0,0.0000000000
1.5,0.0000000000
2.0,0.0000000000
2.5,0.0000000000
3.0,0.0000000000
3.5,0.0000000000
4.0,0.0000000000
4.5,0.0000000000
5.0,0.0000000000
5.5,0.0000000000
6.0,0.0000000000
6.5,0.0000000000
7.0,0.0000000000
7.5,0.0000000000
8.0,0.0000000000
8.5,0.0000000000
9.0,0.0000000000
9.5,0.0000000000
10.0,0.0000000000
10.5,0.0000000000
11.0,0.0000000000
11.5,0.0000000000
12.0,0.0000000000
12.5,0.0000000000
13.0,0.0000000000
13.5,0.0082775911
14.0,0.0296930097
14.5,0.0518268838
15.0,0.0743668852
15.5,0.0970733891
16.0,0.1197627791
16.5,0.1777187043
17.0,0.2397117728
17.5,0.3021289373
18.0,0.3733543483
18.5,0.4606880389
19.0,0.5481605174
19.5,0.6424964749
20.0,0.7440020620
20.5,0.8449644166
21.0,0.9450399396
21.5,1.0486733165
22.0,1.1535047392
22.5,1.2611954664
23.0,1.3744232536
23.5,1.4862254976
24.0,1.5964210199
24.5,1.7048667315
25.0,1.8114513566
25.5,1.9194066338
26.0,2.0264770656
26.5,2.1315831459
27.0,2.2346743203
27.5,2.3357159203
28.0,2.4346865987
28.5,2.5315761625
29.0,2.6263837389
29.5,2.7217935101
30.0,2.8161468203
30.5,2.9085168222
31.0,2.9989121154
31.5,3.0873466118
32.0,3.1738386431
32.5,3.2584101978
33.0,3.3410862675
33.5,3.4218942878
34.0,3.5008636588
34.5,3.5780253353
35.0,3.6534114755
35.5,3.7270551413
36.0,3.7989900417
36.5,3.8692503143
37.0,3.9378703387
37.5,4.0048845787
38.0,4.0703274478
38.5,4.1342331962
39.0,4.1966358151
39.5,4.2575689574
40.0,4.3170658710
40.5,4.3751593440
41.0,4.4318816602
41.5,4.4872645627
42.0,4.5413392255
42.5,4.5941362307
43.0,4.6456855522
43.5,4.6960165436
44.0,4.7451579301
44.5,4.7937110181
45.0,4.8422889891
45.5,4.8897845240
46.0,4.9362204417
46.5,4.9816192036
47.0,5.0260880651
47.5,5.0702841864
48.0,5.1135192176
48.5,5.1558126231
49.0,5.1971835730
49.5,5.2376509320
50.0,5.2772332510
50.5,5.3159487596
51.0,5.3538153617
51.5,5.3908506317
52.0,5.4270718120
52.5,5.4624958126
53.0,5.4971392103
53.5,5.5310182503
54.0,5.5641488474
54.5,5.5965465883
55.0,5.6282267349
55.5,5.6592042273
56.0,5.6894936878
56.5,5.7191094249
57.0,5.7480654380
57.5,5.7763754223
58.0,5.8040527730
58.5,5.8311105914
59.0,5.8575616893
59.5,5.8834185948
60.0,5.9086935577
60.5,5.9333985547
61.0,5.9575452951
61.5,5.9811452263
62.0,6.0042095394
62.5,6.0267491743
63.0,6.0487748254
63.5,6.0702969472
64.0,6.0913257592
64.5,6.1118712515
65.0,6.1319431899
65.5,6.1515511210
66.0,6.1707043775
66.5,6.1894120828
67.0,6.2076831563
67.5,6.2255263179
68.0,6.2429500928
68.5,6.2599628162
69.0,6.2765726379
69.5,6.2927875263
70.0,6.3086152733
70.5,6.3240634984
71.0,6.3391396525
71.5,6.3538510223
72.0,6.3682047344
72.5,6.3822077587
73.0,6.3958669125
73.5,6.4091888644
74.0,6.4221801372
74.5,6.4348471123
75.0,6.4471960324
75.5,6.4592330054
76.0,6.4709640072
76.5,6.4823948853
77.0,6.4935313614
77.5,6.5043790350
78.0,6.5149433861
78.5,6.5252297779
79.0,6.5352434597
79.5,6.5449895699
80.0,6.5544731382
80.5,6.5636990888
81.0,6.5726722421
81.5,6.5813973180
82.0,6.5898789376
82.5,6.5981216262
83.0,6.6061298150
83.5,6.6139078435
84.0,6.6214599618
84.5,6.6287903328
85.0,6.6359030336
85.5,6.6428020583
86.0,6.6494913196
86.5,6.6559746505
87.0,6.6622558065
87.5,6.6683384671
88.0,6.6742262378
88.5,6.6799226516
89.0,6.6854311708
89.5,6.6907551887
90.0,6.6958980309
90.5,6.7008629569
91.0,6.7056531620
91.5,6.7102717783
92.0,6.7147218761
92.5,6.7190064659
93.0,6.7231284988
93.5,6.7270908689
94.0,6.7308964135
94.5,6.7345479153
95.0,6.7380481029
95.5,6.7413996526
96.0,6.7446051889
96.5,6.7476672863
97.0,6.7505884699
97.5,6.7533712167
98.0,6.7560179569
98.5,6.7585310742
99.0,6.7609129075
99.5,6.7631657516
100.0,6.7652918581
100.5,6.7672934366
101.0,6.7691726551
101.5,6.7709316414
102.0,6.7725724838
102.5,6.7740972316
103.0,6.7755078965
103.5,6.7768064530
104.0,6.7779948393
104.5,6.7790749580
105.0,6.7800486770
105.5,6.7809178300
106.0,6.7816842176
106.5,6.7823496073
107.0,6.7829157351
107.5,6.7833843052
108.0,6.7837569914
108.5,6.7840354374
109.0,6.7842212574
109.5,6.7843160367
110.0,6.7843213325
110.5,6.7842386742
111.0,6.7840695641
111.5,6.7838154780
112.0,6.7834778655
112.5,6.7830581508
113.0,6.7825577331
113.5,6.7819779870
114.0,6.7813202632
114.5,6.7805858887
115.0,6.7797761675
115.5,6.7788923810
116.0,6.7779357884
116.5,6.7769076271
117.0,6.7758091133
117.5,6.7746414422
118.0,6.7734057884
118.5,6.7721033067
119.0,6.7707351318
119.5,6.7693023795
120.0,6.7678061462
120.5,6.7662475101
121.0,6.7646275308
121.5,6.7629472503
122.0,6.7612076930
122.5,6.7594098658
123.0,6.7575547590
123.5,6.7556433464
124.0,6.7536765851
124.5,6.7516554168
125.0,6.7495807670
125.5,6.7474535463
126.0,6.7452746500
126.5,6.7430449585
127.0,6.7407653378
127.5,6.7384366398
