Energy,CF_2,HF,CF_3,CH,CF,CHF,CHF_2,C,F
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,1.9393633200611856e-05,0.0,0.0,0.0,0.0,0.0,0.0
14.5,0.0,0.0,0.000521960409181,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0016646605012769,0.0,0.0,0.0,0.0,0.0,0.0
15.5,0.0,0.0,0.0033898298247668,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0056348117557417,0.0,0.0,0.0,0.0007547997295262,0.0,0.0
16.5,0.0,0.0,0.0083366121132054,0.0,0.0,0.0,0.0024042928632635,0.0,0.0
17.0,0.0,0.0,0.011434641098331,0.0,0.0,0.0,0.0044928438969127,0.0,0.0
17.5,0.0,0.0,0.0148722304829898,0.0,0.0,0.0,0.0069647288273087,0.0,0.0
18.0,0.0,0.0,0.0188744574800801,0.0,0.0,0.0,0.009913391242615,0.0,0.0
18.5,0.0,0.0,0.0248050288496681,0.0,0.0,0.0,0.0141316837704412,0.0,0.0
19.0,0.0,0.0,0.0324481073989768,0.0,0.0,0.0,0.019644526981566,0.0,0.0
19.5,0.0,0.0,0.0411084011454056,0.0,0.0,0.0,0.0260911455765097,0.0,0.0
20.0,0.000652016876072,0.0,0.0522108227692809,0.0,0.0,0.0,0.0344134806286652,0.0,0.0
20.5,0.0014784182246414,0.0,0.0641000068394325,0.0,0.0,0.0,0.0435763644683334,0.0,0.0
21.0,0.002463655603731,0.0,0.0766706624415101,0.0,0.0005779645618887,8.108190210040534e-05,0.0534825480667353,0.0,0.0
21.5,0.0035923342258823,0.0,0.0898252624330419,0.0,0.0037917237863436,0.000236421586654,0.0640400106313869,0.0,0.0
22.0,0.0048495575405226,0.0,0.1034742867052557,0.0,0.0075062228832708,0.0004148526016026,0.0751627882058617,0.0,0.0
22.5,0.0062305811676498,0.0,0.1177144287905631,0.0,0.0116875524474497,0.0006149043402243,0.0869029685686775,0.0,0.0
