Energy,CF_2,HF,CF_3,CH,CF,CHF,CHF_2,C,F
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,1.778663065785447e-05,0.0,0.0,0.0,0.0,0.0,0.0
14.5,0.0,0.0,0.0004787095290547,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0015267227754929,0.0,0.0,0.0,0.0,0.0,0.0
15.5,0.0,0.0,0.00310894046837,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0051678978605593,0.0,0.0,0.0,0.0005276465414084,0.0,0.0
16.5,0.0,0.0,0.0076458206186297,0.0,0.0,0.0,0.0016807330000375,0.0,0.0
17.0,0.0,0.0,0.010487139558498,0.0,0.0,0.0,0.0031407450884783,0.0,0.0
17.5,0.0,0.0,0.0136398821161101,0.0,0.0,0.0,0.0048687286624812,0.0,0.0
18.0,0.0,0.0,0.0173104750715287,0.0,0.0,0.0,0.0069300059316108,0.0,0.0
18.5,0.0,0.0,0.0227496252013548,0.0,0.0,0.0,0.0098788245067762,0.0,0.0
19.0,0.0,0.0,0.0297593800956175,0.0,0.0,0.0,0.0137326052381274,0.0,0.0
19.5,0.0,0.0,0.0377020613179991,0.0,0.0,0.0,0.0182391463408074,0.0,0.0
20.0,0.0015366023626427,0.0,0.0478845098973306,0.0,0.0,0.0,0.0240569164524485,0.0,0.0
20.5,0.0034841750579278,0.0,0.0587885279166237,0.0,0.0,0.0,0.0304622764151016,0.0,0.0
21.0,0.0058060752111777,0.0,0.0703175491169519,0.0,0.000319786849511,0.0009850762753169,0.0373872438068296,0.0,0.0
21.5,0.0084660220639497,0.0,0.0823821276866761,0.0,0.0020979545871957,0.0028723215656348,0.044767491030533,0.0,0.0
22.0,0.0114289090482314,0.0,0.0949001613660126,0.0,0.0041531808796804,0.0050401069166602,0.0525429245507747,0.0,0.0
22.5,0.0146835551259424,0.0,0.1079603314314514,0.0,0.0064667037083581,0.0074705657052083,0.0607499565907038,0.0,0.0
